claim_text,evidence_text,support_label,pair_type
The city transport authority announced new electric buses on three major routes to reduce air pollution.,Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,0,mismatch
The city transport authority announced new electric buses on three major routes to reduce air pollution.,Local officials confirmed the bridge repair project finished.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,1,supportive
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,A university research team published peer reviewed findings.,1,supportive
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,A university research team published peer reviewed findings. A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,1,supportive
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,The finance ministry released official data showing inflation.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,Local officials confirmed the bridge repair project finished.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,0,mismatch
A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,Doctors from a public medical college advised citizens.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,1,supportive
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,The finance ministry released official data showing inflation.,1,supportive
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,The finance ministry released official data showing inflation. The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,1,supportive
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,Local officials confirmed the bridge repair project finished.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,Doctors from a public medical college advised citizens.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,The education board published exam results on its official website and announced the counselling schedule.,0,mismatch
The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,The education board published exam results on its.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,1,supportive
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,Local officials confirmed the bridge repair project finished.,1,supportive
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,Local officials confirmed the bridge repair project finished. Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,1,supportive
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,Doctors from a public medical college advised citizens.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,The education board published exam results on its official website and announced the counselling schedule.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,The education board published exam results on its.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,A government press release stated that rural internet access expanded to several new districts this year.,0,mismatch
Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.,A government press release stated that rural internet.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,1,supportive
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,Doctors from a public medical college advised citizens.,1,supportive
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,Doctors from a public medical college advised citizens. Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,1,supportive
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,The education board published exam results on its official website and announced the counselling schedule.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,The education board published exam results on its.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,A government press release stated that rural internet access expanded to several new districts this year.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,A government press release stated that rural internet.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,0,mismatch
Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.,Police confirmed that emergency teams safely evacuated residents.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,The education board published exam results on its official website and announced the counselling schedule.,1,supportive
The education board published exam results on its official website and announced the counselling schedule.,The education board published exam results on its.,1,supportive
The education board published exam results on its official website and announced the counselling schedule.,The education board published exam results on its. The education board published exam results on its official website and announced the counselling schedule.,1,supportive
The education board published exam results on its official website and announced the counselling schedule.,A government press release stated that rural internet access expanded to several new districts this year.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,A government press release stated that rural internet.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,Police confirmed that emergency teams safely evacuated residents.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,0,mismatch
The education board published exam results on its official website and announced the counselling schedule.,Space researchers announced a successful satellite test after.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,A government press release stated that rural internet access expanded to several new districts this year.,1,supportive
A government press release stated that rural internet access expanded to several new districts this year.,A government press release stated that rural internet.,1,supportive
A government press release stated that rural internet access expanded to several new districts this year.,A government press release stated that rural internet. A government press release stated that rural internet access expanded to several new districts this year.,1,supportive
A government press release stated that rural internet access expanded to several new districts this year.,Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,Police confirmed that emergency teams safely evacuated residents.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,Space researchers announced a successful satellite test after.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,The state electricity board introduced a rebate for households that install rooftop solar panels.,0,mismatch
A government press release stated that rural internet access expanded to several new districts this year.,The state electricity board introduced a rebate for.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,1,supportive
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,Police confirmed that emergency teams safely evacuated residents.,1,supportive
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,Police confirmed that emergency teams safely evacuated residents. Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,1,supportive
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,Space researchers announced a successful satellite test after.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,The state electricity board introduced a rebate for households that install rooftop solar panels.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,The state electricity board introduced a rebate for.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,An official labour report showed that employment in manufacturing increased during the last six months.,0,mismatch
Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.,An official labour report showed that employment in.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,1,supportive
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,Space researchers announced a successful satellite test after.,1,supportive
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,Space researchers announced a successful satellite test after. Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,1,supportive
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,The state electricity board introduced a rebate for households that install rooftop solar panels.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,The state electricity board introduced a rebate for.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,An official labour report showed that employment in manufacturing increased during the last six months.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,An official labour report showed that employment in.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,0,mismatch
Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.,Environmental experts documented improved river water quality after.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,The state electricity board introduced a rebate for households that install rooftop solar panels.,1,supportive
The state electricity board introduced a rebate for households that install rooftop solar panels.,The state electricity board introduced a rebate for.,1,supportive
The state electricity board introduced a rebate for households that install rooftop solar panels.,The state electricity board introduced a rebate for. The state electricity board introduced a rebate for households that install rooftop solar panels.,1,supportive
The state electricity board introduced a rebate for households that install rooftop solar panels.,An official labour report showed that employment in manufacturing increased during the last six months.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,An official labour report showed that employment in.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,Environmental experts documented improved river water quality after.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,Airport authorities issued a notice about revised security checks during the holiday travel period.,0,mismatch
The state electricity board introduced a rebate for households that install rooftop solar panels.,Airport authorities issued a notice about revised security.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,An official labour report showed that employment in manufacturing increased during the last six months.,1,supportive
An official labour report showed that employment in manufacturing increased during the last six months.,An official labour report showed that employment in.,1,supportive
An official labour report showed that employment in manufacturing increased during the last six months.,An official labour report showed that employment in. An official labour report showed that employment in manufacturing increased during the last six months.,1,supportive
An official labour report showed that employment in manufacturing increased during the last six months.,Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,Environmental experts documented improved river water quality after.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,Airport authorities issued a notice about revised security checks during the holiday travel period.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,Airport authorities issued a notice about revised security.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,0,mismatch
An official labour report showed that employment in manufacturing increased during the last six months.,Doctors warn that drinking warm salt water every hour.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,1,supportive
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Environmental experts documented improved river water quality after.,1,supportive
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Environmental experts documented improved river water quality after. Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,1,supportive
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Airport authorities issued a notice about revised security checks during the holiday travel period.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Airport authorities issued a notice about revised security.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,Doctors warn that drinking warm salt water every hour.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,0,mismatch
Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.,A viral post claims that the moon emits healing.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,Airport authorities issued a notice about revised security checks during the holiday travel period.,1,supportive
Airport authorities issued a notice about revised security checks during the holiday travel period.,Airport authorities issued a notice about revised security.,1,supportive
Airport authorities issued a notice about revised security checks during the holiday travel period.,Airport authorities issued a notice about revised security. Airport authorities issued a notice about revised security checks during the holiday travel period.,1,supportive
Airport authorities issued a notice about revised security checks during the holiday travel period.,Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,Doctors warn that drinking warm salt water every hour.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,A viral post claims that the moon emits healing.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,0,mismatch
Airport authorities issued a notice about revised security checks during the holiday travel period.,Social media users falsely reported that all bank savings.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,1,supportive
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,Doctors warn that drinking warm salt water every hour.,1,supportive
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,Doctors warn that drinking warm salt water every hour. Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,1,supportive
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,A viral post claims that the moon emits healing.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,Social media users falsely reported that all bank savings.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,0,mismatch
Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.,An unverified website claimed celebrities discovered a fruit.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,1,supportive
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,A viral post claims that the moon emits healing.,1,supportive
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,A viral post claims that the moon emits healing. A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,1,supportive
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,Social media users falsely reported that all bank savings.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,An unverified website claimed celebrities discovered a fruit.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,0,mismatch
A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.,A fabricated article said the government plans to.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,1,supportive
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,Social media users falsely reported that all bank savings.,1,supportive
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,Social media users falsely reported that all bank savings. Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,1,supportive
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,An unverified website claimed celebrities discovered a fruit.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,A fabricated article said the government plans to.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,0,mismatch
Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.,A misleading message claimed airplanes are spraying chemicals.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,1,supportive
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,An unverified website claimed celebrities discovered a fruit.,1,supportive
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,An unverified website claimed celebrities discovered a fruit. An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,1,supportive
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,A fabricated article said the government plans to.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,A misleading message claimed airplanes are spraying chemicals.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,An online rumor said a famous actor became prime minister of three countries on the same day.,0,mismatch
An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.,An online rumor said a famous actor became.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,1,supportive
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,A fabricated article said the government plans to.,1,supportive
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,A fabricated article said the government plans to. A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,1,supportive
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,A misleading message claimed airplanes are spraying chemicals.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,An online rumor said a famous actor became prime minister of three countries on the same day.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,An online rumor said a famous actor became.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,0,mismatch
A fabricated article said the government plans to ban all textbooks and replace schools with television shows.,Posts on unknown blogs alleged that smartphones can.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,1,supportive
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,A misleading message claimed airplanes are spraying chemicals.,1,supportive
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,A misleading message claimed airplanes are spraying chemicals. A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,1,supportive
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,An online rumor said a famous actor became prime minister of three countries on the same day.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,An online rumor said a famous actor became.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,Posts on unknown blogs alleged that smartphones can.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,0,mismatch
A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.,A fake report claimed drinking only coffee for seven.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,An online rumor said a famous actor became prime minister of three countries on the same day.,1,supportive
An online rumor said a famous actor became prime minister of three countries on the same day.,An online rumor said a famous actor became.,1,supportive
An online rumor said a famous actor became prime minister of three countries on the same day.,An online rumor said a famous actor became. An online rumor said a famous actor became prime minister of three countries on the same day.,1,supportive
An online rumor said a famous actor became prime minister of three countries on the same day.,Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,Posts on unknown blogs alleged that smartphones can.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,A fake report claimed drinking only coffee for seven.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,0,mismatch
An online rumor said a famous actor became prime minister of three countries on the same day.,A viral message said all oceans would turn into.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,1,supportive
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,Posts on unknown blogs alleged that smartphones can.,1,supportive
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,Posts on unknown blogs alleged that smartphones can. Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,1,supportive
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A fake report claimed drinking only coffee for seven.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A viral message said all oceans would turn into.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,0,mismatch
Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.,A made up article claimed that sleeping with onions.,0,mismatch
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,1,supportive
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A fake report claimed drinking only coffee for seven.,1,supportive
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A fake report claimed drinking only coffee for seven. A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,1,supportive
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,0,mismatch
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A viral message said all oceans would turn into.,0,mismatch
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,0,mismatch
